date,tournament_type,home_team,away_team,home_score,away_score,home_elo_before,away_elo_before,home_elo_after,away_elo_after
1872-11-30,Friendly,SCOTLAND,ENGLAND,0,0,800.0,800.0,800.0,800.0
1873-03-08,Friendly,ENGLAND,SCOTLAND,4,2,800.0,800.0,813.2,791.2
1874-03-07,Friendly,SCOTLAND,ENGLAND,2,1,791.2,813.2,804.5967811052683,804.2688125964878
1875-03-06,Friendly,ENGLAND,SCOTLAND,2,2,804.2688125964878,804.5967811052683,804.2801402241125,804.5892293535185
1876-03-04,Friendly,SCOTLAND,ENGLAND,3,0,804.5892293535185,804.2801402241125,818.3769524623816,795.0883248182038
1876-03-25,Friendly,SCOTLAND,WALES,4,0,818.3769524623816,800.0,832.0160010212062,790.9073009607836
1877-03-03,Friendly,ENGLAND,SCOTLAND,1,3,795.0883248182038,832.0160010212062,787.2201389036368,843.8182798930566
1877-03-05,Friendly,WALES,SCOTLAND,0,2,790.9073009607836,843.8182798930566,783.4371881385918,855.0234491263443
1878-03-02,Friendly,SCOTLAND,ENGLAND,7,2,855.0234491263443,787.2201389036368,867.1327494433475,779.1472720256347
1878-03-23,Friendly,SCOTLAND,WALES,9,0,867.1327494433475,783.4371881385918,880.4204140387805,774.5787450749698
1879-01-18,Friendly,ENGLAND,WALES,2,1,779.1472720256347,774.5787450749698,791.5816006765667,766.2891926410151
1879-04-05,Friendly,ENGLAND,SCOTLAND,5,4,791.5816006765667,880.4204140387805,807.3349770061426,869.9181631523965
1879-04-07,Friendly,WALES,SCOTLAND,0,3,766.2891926410151,869.9181631523965,759.7546804631922,879.7199314191308
1880-03-13,Friendly,SCOTLAND,ENGLAND,5,4,879.7199314191308,807.3349770061426,889.7321726459458,800.6601495215994
1880-03-15,Friendly,WALES,ENGLAND,2,3,759.7546804631922,800.6601495215994,752.3391134417395,811.7835000537784
1880-03-27,Friendly,SCOTLAND,WALES,5,1,889.7321726459458,752.3391134417395,898.7170779486415,746.3491765732757
1881-02-26,Friendly,ENGLAND,WALES,0,1,811.7835000537784,746.3491765732757,801.8199281522741,761.2945344255322
1881-03-12,Friendly,ENGLAND,SCOTLAND,1,6,801.8199281522741,898.7170779486415,794.538724918571,909.6388827991963
1881-03-14,Friendly,WALES,SCOTLAND,1,5,761.2945344255322,909.6388827991963,755.5612747292621,918.2387723436016
1882-02-18,Friendly,NORTHERN IRELAND,ENGLAND,0,13,800.0,794.538724918571,786.5925287523704,814.6499317900153
